"ecos","mdl","AIC","BIC","Dev","R2","vif"
50602,"aab ~ isi_95d + bui_fwsl",682.170695580147,689.12137405328,64.3687723816748,0.245364165211185,2.4109497571555
50605,"aab ~ isi_max + bui_max",566.877168769499,573.827847242632,84.8370402531647,0.466826652336499,1.79744313859221
50606,"aab ~ isi_fwsl + bui_fs",650.643050772611,657.593729245744,74.9283519399096,0.38500595693606,2.06271544930703
50607,"aab ~ isi_max + bui_fs",727.529014042853,734.479692515986,24.1501457602675,0.645197586191817,1.76887139685375
50608,"aab ~ isi_max + bui_max",713.221379300209,720.172057773342,53.2728499333451,0.421529939591773,1.65767404588221
50609,"aab ~ isi_max + bui_max",771.177433545173,778.128112018307,16.3604337957234,0.658944219048399,2.09636296798691
50610,"aab ~ isi_fs + bui_fs",628.787923710697,635.73860218383,83.9712993828964,0.489130971858669,2.94177261755478
50612,"aab ~ isi_max + bui_95d",731.91294570563,738.863624178764,36.7871222137532,0.558797194659664,1.55572062372437
50613,"aab ~ isi_max + bui_fs",595.74971882859,602.700397301724,76.3444668715894,0.411127251165118,1.95496841722644
50614,"aab ~ isi_95d + bui_95d",693.352095449249,700.302773922383,46.72102026898,0.408328631353517,1.9458517021273
50616,"aab ~ isi_95d + bui_max",591.583850534673,598.534529007807,71.8765751382992,0.418026287015454,2.41757713766694
51111,"aab ~ isi_max + bui_fs",646.857983557446,653.80866203058,50.2778230514928,0.483840890970422,1.59699638914433
